Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
2468684,09/07/2010,0200,06,Hollywood,0636,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,ELMWOOD,WESTERN
2722843,04/28/2011,2315,20,Olympic,2011,23,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,OAKWOOD,WESTERN                      AV
2887880,09/24/2011,0300,06,Hollywood,0678,27,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,SIERRA VISTA,WESTERN
3054187,02/17/2012,2300,20,Olympic,2004,22,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
3104709,03/30/2012,2340,06,Hollywood,0657,25,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MONROE,WESTERN
3151590,05/10/2012,0130,06,Hollywood,0678,19,F,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
3211977,06/29/2012,2150,06,Hollywood,0657,41,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMONGROVE,WESTERN                      AV
3216221,09/30/2012,0100,20,Olympic,2071,20,F,B,13,Prostitution/Allied,M,653.22PC,LOITERING FOR PURPOSES OF PROSTITUTION,15TH                         ST,WESTERN
3317462,09/29/2012,0230,06,Hollywood,0678,13,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,SIERRA VISTA,WESTERN
3601279,06/22/2013,0210,20,Olympic,2011,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,COUNCIL,WESTERN
3772186,11/13/2013,0130,20,Olympic,2073,25,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
3779644,11/20/2013,0520,06,Hollywood,0678,20,F,W,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,MARATHON,WESTERN
3885928,03/06/2014,2250,06,Hollywood,0646,33,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARTAHON,WESTERN
3909498,03/29/2014,0310,06,Hollywood,0639,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FOUNTAIN,WESTERN
4086051,09/06/2014,0220,06,Hollywood,0674,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
4090860,03/07/2015,2310,20,Olympic,2071,26,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4185099,12/15/2014,2345,06,Hollywood,0657,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,ROMAINE,WESTERN
4185092,12/15/2014,2345,06,Hollywood,0657,22,F,B,13,Prostitution/Allied,F,647(B)PC,PROSTITUTION WITH PRIOR KNOWLEDGE OF AIDS,ROMAINE,WESTERN
4185107,12/15/2014,2210,20,Olympic,2011,20,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST,WESTERN
4185112,12/15/2014,2345,06,Hollywood,0678,24,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARTON                       AV,WESTERN                      AV
4185128,12/16/2014,0005,06,Hollywood,0668,39,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,VIRGINIA,WESTERN
4185132,12/16/2014,0015,06,Hollywood,0668,31,M,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,SIERRA VISTA,WESTERN
4185822,12/16/2014,2225,06,Hollywood,0657,27,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BATON,WESTERN
4185946,12/17/2014,0030,20,Olympic,2062,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,11TH                         ST,WESTERN                      AV
4190128,12/22/2014,0600,20,Olympic,2063,27,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,12TH                         ST,WESTERN                      AV
4190145,12/22/2014,0545,20,Olympic,2073,20,F,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,20TH,WESTERN
4190151,12/22/2014,0530,20,Olympic,2081,26,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH                         ST,WESTERN                      AV
4190187,12/22/2014,0545,20,Olympic,2073,21,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH,WESTERN
4190203,12/22/2014,0515,20,Olympic,2073,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CAMBRIDGE,WESTERN
4190683,12/22/2014,2200,06,Hollywood,0678,25,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4190724,12/22/2014,2320,20,Olympic,2081,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH                         ST,WESTERN
4198650,01/04/2015,0040,20,Olympic,2063,18,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,VENICE,WESTERN
4198663,01/04/2015,0100,06,Hollywood,0678,20,M,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMONGROVE,WESTERN
4198680,01/04/2015,0045,20,Olympic,2081,21,F,O,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH,WESTERN
4198687,01/04/2015,0050,20,Olympic,2081,23,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,187TH,WESTERN
4198691,01/04/2015,0100,06,Hollywood,0649,18,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMON GROVE,WESTERN
4206165,01/13/2015,0540,20,Olympic,2004,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CLINTON,WESTERN
4206184,01/13/2015,0620,20,Olympic,2002,23,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,ELMWOOD,WESTERN
4206186,01/13/2015,0645,20,Olympic,2071,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4206189,01/13/2015,0645,20,Olympic,2071,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
4206197,01/13/2015,0655,20,Olympic,2073,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4209570,01/16/2015,2200,06,Hollywood,0677,22,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4209687,01/16/2015,2225,06,Hollywood,0677,29,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4209804,01/17/2015,0010,06,Hollywood,0667,27,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MELROSE,WESTERN
4217488,01/23/2015,2300,20,Olympic,2002,25,M,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,MAPLEWOOD,WESTERN
4217563,01/24/2015,0045,20,Olympic,2011,19,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,1ST                          ST,WESTERN
4217619,01/24/2015,0045,20,Olympic,2002,20,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH                         ST,WESTERN
4217639,01/24/2015,0120,20,Olympic,2062,24,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,OLYMPIC,WESTERN
4217649,01/24/2015,0210,06,Hollywood,0678,37,F,W,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARATHON,WESTERN
4217678,01/24/2015,0300,06,Hollywood,0659,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FOUNTAIN,WESTERN
4219015,01/25/2015,2305,20,Olympic,2021,29,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4219022,01/25/2015,2210,20,Olympic,2071,22,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,VENICE,WESTERN
4219029,01/25/2015,2255,20,Olympic,2071,21,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
4219030,01/25/2015,2355,20,Olympic,2071,19,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN                      AV
4221728,01/28/2015,2310,06,Hollywood,0678,28,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4222041,08/30/2015,0235,20,Olympic,2002,32,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4222065,09/13/2015,0145,20,Olympic,2053,26,F,H,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,11TH,WESTERN
4224684,01/31/2015,2125,06,Hollywood,0678,23,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4241467,02/17/2015,0330,20,Olympic,2081,24,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,WASHINGTON                   BL,WESTERN                      AV
4243220,02/18/2015,2350,06,Hollywood,0677,23,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MELROSE,WESTERN
4243244,02/19/2015,0020,20,Olympic,2002,25,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,BEVERLY,WESTERN
4243267,02/19/2015,0005,06,Hollywood,0678,18,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,MELROSE,WESTERN
